##name	Lexique de Warhammer 40000
##version	0.0.3
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-11-09
##description	Dictionnaire pour faciliter la lecture des livres Warhammer 400000 (ɔ) 2023
##sourceLang	French
##targetLang	French
O'Shovah	O'Shovah, aussi appelé Commandeur Farsight est l'un des personnages dont l'histoire est la plus controversé chez les Tau. Il est le plus célèbre guerrier du Sept Vior'la. 3
O'var	O'var, aussi connu sous le nom de Commandeur Brightsword, est l'un des Shas'O les plus connus de l'Empire Tau.
Oan Mkoll	Oan Mkoll est un Sergent éclaireur du 1er et Unique Régiment de Tanith, combattant aux côtés d'Ibram Gaunt. 1
Obliterator	Les Obliterators sont des guerriers qui ont voué leur existence à la recherche de la perfection mécanique à travers le Chaos, ils ont donc métamorphosé leur corps en arme vivante. 1-p.35
Oblitérateur Empathique	L'Oblitérateur Empathique est une Arme Nécron utilisée par  Trazyn l'Infini. 1
Oblitérateur à Fission	L'Oblitérateur à Fission est une Arme Nécron utilisé par un Monolithe modifié, appelé Monolithe du Jugement Dernier. 1
Occludus	Occludus est le Monde Chapitral des Death Spectres. 1
Odin	Frère Odin fut un Sergent de l'antique VIème légion des Space Wolves. 1
Odovocar	Frère Odovocar fut un Capitaine de l'antique IIIème légion des Emperor's Children. 1
Oechalia	Oechalia est un Monde Civilisé du Secteur Gothique. 1
Oeil de Vulkan	L'"Oeil de Vulkan" est un vaisseau relique du chapitre des Salamanders. Ses plans furent dessinés autrefois par le primarque Vulkan en personne. 1
Oerlin Fargaze	Oerlin Fargaze est un Grand Prophète du Vaisseau-Monde Saim-Hann.
Officio Assassinorum	L'Officio Assassinorum est une organisation distincte des armées de l'Imperium.
Ogre Lord	L'"Ogre Lord" fut un croiseur des Word Bearers du 9ème Ost d'Iskavan. 1a
Ogryns d'Anark Zeta	Les Ogryns d'Anark Zeta est une unité d'auxiliaire de la Garde Impériale. 1
Oiseau de Feu	L'Oiseau de Feu est une Machine Démon utilisée par les forces du Chaos de Tzeentch. 1
Oiseau de Mort	L'Oiseau de Mort est une Machine Démon utilisée par les forces du Chaos de Tzeentch. 1
Olaf Virolu	'"Olaf Virolu" fut un gouverneur de l'Imperium. 1a
Ombre dans le Warp	L’Ombre dans le Warp est le terme qui désigne le signal psychique qui avertit d’une prochaine invasion Tyranide. 1
Omeg	"Omeg" fut un membre d'un clan humain de Baal Secundus. 1
Omega Marines	Les Omega Marines sont un Chapitre Space Marine loyaliste. 2
Omega Thule	Omega Thule de son nom complet "Omega Terohimus Thule", 1-chap.6 fut un Technoprêtre du Culte de la Machine et un techno-archéologue de l'Adeptus Mechanicus. 1-chap.2
Omkar	Omkar est un sergent de la 3ème compagnie des Salamanders. 1
Omnia Victum	L'Omnia Victum fut un Titan Imperator de la Legio Argentum. 1
Omnicron 71-DX	Omnicron 71-DX est un Monde Forge du Secteur Calixis, proche de la Nébuleuse d'Adrantis.
Omnio	Frère "Omnio" fut un Space Marine Vétéran de la 1ère compagnie des Blood Angels et un membre de l'escouade Gideon. 1
Omnissiah’s Victory	L'Omnissiah's victory est une Arche Mechanicus de l’Adeptus Mechanicus. 1
Onagre des Dunes	L'Onagre des Dunes est un marcheur de guerre de l'Adeptus Mechanicus utilisé spécifiquement par les Skitarii. 1, 2
Ophelia VII	Ophelia VII est le plus ancien des Mondes Cardinaux de l'Imperium, un lieu presque aussi saint que Terra elle-même.
Ophidian	Ophidian peut désigner :<ul><li> Sous-secteur Ophidian : un Sous-secteur du Segmentum Obscurus.</li> <li> Ophidian (Croiseur d'Attaque) : un Croiseur d'Attaque des Blood Swords.</li></ul>
Ophion	Ophion peut désigner :<ul><li> Ophion (Land Raider) : un Land Raider du Chaos. </li> <li> Kheron Ophion : Capitaine de la 39ème Compagnie de la Légion des Night Lords.</li> <li> Système Ophion : un Système Planétaire.</li></ul>
Opus Macharius	Opus Macharius est un Monde Forge du Secteur Calixis, situé dans les Marches de Drusus.
Or'es El'leath	L'Or'es El'leath (aussi désigné Custodian par l'Imperium) est le plus gros navire de la nouvelle génération de la flotte Tau. Son rôle principal est de transporter un nombre important d'engin plus petits capables de supporter leur flotte. L'Or'es El'leath est toujours accompagné de trois Kir'la qui peuvent s'y amarrer. Ces escorteurs ont pour rôle la protection de leur vaisseau mère et ne s'en éloigne jamais vraiment. 1
Orbe de Résurrection	L' Orbe de Résurrection est un équipement Nécron utilisé par les Tétrarques ainsi que par le Némésor Zahndrekh. 1
Ordinant (Pacte de Sang)	Les Ordinants désignent les hommes et femmes qui forment la caste de puissants prêtres ou administrateurs qui accompagnent le Pacte du Sang et composent l’entourage de l’Etogaur. Le terme générique d’ordinant regroupe les différents prêtres dédiés à Khorne, appelés souvent sycophantes mais aussi les dignitaires, émissaires, savants, bureaucrates ou marchands. En plus de prêcher la bonne parole, les ordinants étudient avec attention l’Imperium et ses adepta dans ses moindres détails afin d’y découvrir la moindre faille à exploiter et comment les infiltrer.Leur robe et coiffures sont toujours élaborées et décorées de symboles ésotériques impies, ils portent en général une masse d’arme ou un bâton cérémoniel. Leurs doigts sont tous ornés de riches bagues. Il n’est pas rare que certains d’entre eux possèdent des mutations, signe d’une faveur des Dieux. Certains ordinants sont spécialement entraîner pour infiltrer l’Imperium afin d’étudier ses rouages mais aussi pour préparer le terrain d’une invasion. Ils sont aussi fréquemment entourés de laquais, des mutants pour la plupart. Ils leurs servent alors de gardes du corps ou de scribes et serviteurs. 1
Ordinatus	Les Ordinatus sont d'immenses machines de guerre servant le Centurio Ordinatus, l'une des branches de l'Adeptus Mechanicus. 1
Ordinatus Gehenna	Le Gehenna est un modèle d'Ordinatus déployée sur les avants-postes de l'Adeptus Mechanicus afin de protéger les systèmes bordant l'Oeil de la Terreur. 1-chap.3
Ordo Chronos	L'Ordo Chronos est l'une des factions de l'Inquisition. 1
Ordo Hereticus	L'Ordo Hereticus est l'une des branches structurant l'Inquisition. 1
Ordo Machinum	L'Ordo Machinum est l'une des factions de l'Inquisition. 1
Ordo Malleus	L'Ordo Malleus est l'une des factions de l'Inquisition. 1
Ordo Scriptorum	L'Ordo Scriptorum est l'une des factions de l'Inquisition. 1
Ordo Sicarius	L'Ordo Sicarius est l'une des factions de l'Inquisition. 1
Ordo Xenos	L'Ordo Xenos est l'une des factions de l'Inquisition. 1
Ordre Militant Mineur	Les Ordres Militants Mineurs sont des sous-groupes des Ordres Militants. 1
Ordre de Notre Dame des Martyrs	Notre Dame des Martyrs est l'un des 6 Ordres Militants de l'Adepta Sororitas.
Ordre de la Rose Sacrée	L'Ordre de la Rose Sacrée est l'un des 6 Ordres Militants de l'Adepta Sororitas. 2
Ordre de la Rose de Sang	L'Ordre de la Rose de Sang 1 (ou Rose Sanglante 2) est l'un des 6 Ordres Militants de l'Adepta Sororitas. 2
Ordre du Calice d'Ébène	L'Ordre du Calice d'Ébène est l'un des 6 Ordres Militants de l'Adepta Sororitas. 2
Ordre du Cœur Blessé	L'Ordre du Cœur Blessé (ou Navré 2) est un Ordre Militant Mineur de l'Adepta Sororitas. 1
Ordre du Cœur Valeureux	L'Ordre du Cœur Valeureux est l'un des 6 Ordres Militants de l'Adepta Sororitas. 2
Ordre du Manteau d'Hermine	L'Ordre du Manteau d'Hermine est un Ordre Militant Mineur de l'Adepta Sororitas. 1
Ordre du Suaire d'Argent	L'Ordre du Suaire d'Argent est l'un des 6 Ordres Militants de l'Adepta Sororitas. 2
Orestes	Orestes peut désigner :<ul><li> Orestes (Monde Chevalier) : un Monde Chevalier de l'Ultima Segmentum.</li> <li> Orestes (Monde Forge) : un Monde Forge du Segmentum Pacificus.</li> <li> Orestes (Star Dragons) : un frère de bataille des Star Dragons.</li></ul>
Orestes (Monde Chevalier)	Orestes est un Monde Chevalier, situé dans l'Ultima Segmentum. Il a pour voisin le Système Estaban. 1
Orestes (Monde Forge)	Situé dans les Mondes de Sabbat, Orestes est un Monde Forge gardé par la Legio Tempestus Orestae et la Garde d'Estime d'Orestes. Abritant deux ruches majeures (celle d'Orestes et celle d'Argentum, aujourd'hui détruite), cette planète souffrit beaucoup de la guerre. Suite à une erreur du Maître de Guerre Macaroth, une flotte du Chaos réussit à débarquer ses Titans renégats sur la planète impériale, et en moins de deux semaines, la majorité des machines de la Legio Tempestus furent anéanties. Cependant, l'intervention providentielle de la Legio Invicta permit d'éviter une véritable catastrophe, non seulement pour la planète mais aussi pour toute la Croisade des Mondes de Sabbat. 1
Orexis	Frère "Orexis" fut un Sergent Vétéran de l'antique IXème légion des Blood Angels. 1
Orgol	Orgol l'ancien fut un Dreadnought Deredeo de l'antique IVème Légion des Iron Warriors. 1
Orilan	"Orilan" est une planète appartenant à l'Imperium, mais fut transformé au M41 en Monde Mort. 1a
Orion	Orion est un terme qui peut désigner:<ul><li> Bataille d'Orion : affrontement spatial auquel participa le Divine Right</li> <li> Jonah Orion : Archiviste du chapitre des Blood Ravens.</li> <li> Orion (Dominator) : Croiseur Dominator de la Flotte de Guerre Scarus</li> <li> Orion (Lunar) : Ancien Croiseur Lunar de la Flotte de Guerre Armageddon</li> <li> Sword of Orion : Croiseur Gothic de la Flotte de Guerre Gothique</li></ul>
Orion (Lunar)	L'Orion fut un Croiseur Lunar affecté à la Flotte de Guerre Armageddon. 1
Orks	Les Orks sont l'une des principales race Xenos de la Galaxie et la plus nombreuse. 2
Orloc	Frère "Orloc" fut un Maître de Chapitre des Blood Drinkers. 1
Ornulfr	Frère Ornulfr fut un Sergent de l'antique VIème légion des Space Wolves. 1
Orpheus	Orpheus peut désigner :<ul><li> Orpheus Prime : Une planète Impériale.  </li> <li> Praetors of Orpheus : Un Chapitre de Space Marines.</li> <li> Secteur Orpheus : Un Secteur galactique .</li> <li> Imperial Armour Volume Twelve - The Fall of Orpheus : Un livre de Forge World qui relate la chute du Secteur Orpheus aux mains des Nécrons.</li></ul>
Orpheus Prime	Orpheus Prime est le Monde Chapitral des Praetors of Orpheus. 1
Ortan Cassius	Ortan Cassius est le Maître de la Foi et de la Pureté, Grand Chapelain du Chapitre des Ultramarines. 1, 2, 3
Ortho	Ortho est un Monde Minier du Secteur Gothique. 1
Osgarg	Frère Osgarg fut un Sergent de l'antique XIVème légion de la Death Guard. 1
Othion	Othion est un Monde Féodal des Coronid Reach . 1
Ouragan Meutrier	L'Ouragan Meutrier est la dénomination d'un pouvoir psychique propre aux Prêtres des Runes du Chapitre des Space Wolves. 1
Ouroboris	Ouroboris (ou Ouroboros 2) est le nom d'une Flotte-Ruche oubliée. 1
Owin Glendwyr	Owin Glendwyr est un ancien Maître de Chapitre des Storm Wardens en M36. 1
Pa-Siamun	Frère Pa-Siamun fut un Sergent de l'antique XVème légion des Thousand Sons. 1
Pacification du sous-secteur Contqual	La "Pacification du sous-secteur Contqual" désigne la campagne de reconquête éclatante des systèmes du sous-secteur tombés aux mains du Chaos, par le chapitre des Iron Hands.
Pacte du Sang	Le Pacte du Sang forme une armée structurée et disciplinée et c’est principalement ce qui les démarque des autres hordes désorganisées constituées d’adorateurs des Puissances de la Ruine. Composés de déserteurs hautement entrainés, de repris de justices sanguinaires ou de mercenaires sans pitié, les soldats du Pacte du Sang ne connaissent ni la peur ni l’hésitation. Ils ont déjà ravagé des mondes entiers et massacré leur population, ne laissant derrière eux qu’un bain de sang. 1
Paladin	Le terme Paladin peut désigner :<ul><li> Paladin (Chevalier Gris) : Un guerrier d'élite des Chevaliers Gris.</li> <li> Paladin (Dark Angels) : Un grade au sein de la Légion des Dark Angels. </li> <li> Chevalier Paladin : Un type de Chevalier Impérial.</li> <li> Crimson Paladins : Un Chapitre Space Marine.</li> <li> Imperial Paladins : Un Chapitre Space Marine.</li></ul>
Paladin (Chevalier Gris)	Un Paladin est l'un des plus puissant guerrier du Chapitre des Chevaliers Gris. Il est à la fois le champion, le conseiller et le garde du corps d'un des Grand Maître. 1
Palais Impérial	Grand et magnificent, le Palais Impérial Primus de Terra abrite l'Empereur de l'Humanité. Le Palais Impérial s'étend sur des terres qui constituaient autrefois l'Europe de l'Ouest et l'Europe Centrale. Il est gardé par les membres de l'Adeptus Custodes, qui en connaissent les moindres recoins et passages. C'est dans ses halls sacrés que sont recensées les plus grandes victoires impériales, les Victorix Maxima. Dans le chapitre XVII de son journal, le Lieutenant-Commandeur Sturn donne de nombreuses informations sur le Palais Impérial.
Palamon	Frère "Palamon" fut un Space Marine du chapitre des Blood Angels. 1a
Palatin de Fer	Palatin de Fer était un rang spécifique à la Légion des Iron Warriors durant la Grande Croisade. 1
Pallas Imperious	Le Pallas Imperious fut un Croiseur Gothic affecté à une flotte de guerre non identifiée. 1
Pallid Hand	La Pallid Hand est une bande de Space Marines du Chaos provenant de la Death Guard. 1
Pandorax (Roman)	Pandorax est une roman publié en novembre 2013, qui fait partie de la série de romans et nouvelles contant les exploits des Chapitres Space Marines. Il raconte la bataille qui opposa les Dark Angels et les Chevaliers Gris aux forces du Chaos sur Pythos. 2
Panoplie de Pinces	Une Panoplie de Pinces est un équipement Nécron utilisé par les Mécarachnides. 1
Par le feu et l'acier (Conquest, Extension)	"Par le feu et l'acier" est le nom de la troisième extension du troisième cycle du jeu de carte Conquest publié en français par Edge Entertainment.
Paras Élysiens	Les Paras Élysiens désignent des régiments spécialisés de la Garde Impériale, issu de la planète Elysia.
Pardus	"Pardus" peut désigner :<ul><li> L'Anomalie de Pardus: Un ensemble de systèmes solaires jadis réputés pour être innaccessibles.</li> <li> Le 8ème Pardus: Un régiment blindé de la Garde Impériale (Croisade des Mondes de Sabbat) </li> <li> Le 34ème Pardus: Un régiment blindé de la Garde Impériale (Croisade des Mondes de Sabbat)</li></ul>
Parenté de Carnivores Kroots	Les Parentés de Carnivores Kroots ou Carnivores Kroots2-p.52  sont les axillaires les plus répandus servant aux cotés des armées Tau. 1
Paria	Le terme Paria (ou intouchable) désigne les humains ne provoquant aucun écho dans le Warp, ils sont ainsi l'antithèse des Psykers. Ces individus sont utilisés par le Temple Culexus, les Sœurs du Silence et comme pilote de Titan-Psi. 1, 2, 3
Paria (Homonymie)	Le terme Paria peut désigner :<ul><li> Paria : Un humain dénué d'écho dans le Warp, l'antithèse des Psykers. </li> <li> Paria (Roman) : Un roman de Dan Abnett </li> <li> Paria (Nécron) : Un type de combatant Nécron</li></ul>
Paria (Roman)	Pariah, sous-titré "Ravenor vs Eisenhorn", est le premier roman d'une trilogie faisant suite à celles de Eisenhorn et de Ravenor, reprenant des personnages principaux des deux séries: Gregor Eisenhorn et Gideon Ravenor. mais cette nouvelle trilogie est centrée sur le personnage du paria Alizebeth Bequin, la narratrice.
Paroles de Sang (Recueil)	Paroles de Sang est un recueil de nouvelles futuristes publié par la Bibliothèque Interdite.
Pas du Dragon	Pas du Dragon ou Dragon's End est le Monde Chevalier de la Maison Griffith, situé dans l'Ultima Segmentum. 1
Pasanius Lysane	Pasanius Lysane est un Sergent Vétéran de la 4ème compagnie des Ultramarines. 1
Pat Loboyko	Pat Loboyko est un illustrateur et contributeur des publications de Fantasy Flight Games.
Patrekr	Frère Patrekr, dit aux Grands Crocs, fut un Dreadnought Contemptor de l'antique VIème légion des Space Wolves. 1
Patriarche	Un Culte Genestealer est dirigé par un Patriarche. Il s'agit du premier Genestealer qui a infecté une forme de vie indigène lors de son arrivée sur un Monde-Proie. 2-p.13
Patriarchs of Ulixis	Les Patriarchs of Ulixis sont un Chapitre Space Marine loyaliste, successeur des Ultramarines, créé lors de la Seconde Fondation. 1
Patrouilleur Skitarii	Les Patrouilleurs Skitarii sont des troupes du Mechanicum spécialisées dans l'utilisation des Armes à Radium. 2
Paul Bonner	Paul Bonner est un illustrateur et contributeur des publications de Games Workshop.
Paul Dainton	Paul Dainton est un illustrateur et contributeur des publications de Black Library et Games Workshop.
Paul Jeacock	Paul Jeacock est illustrateur un contributeur des publications de Games Workshop et Fantasy Flight Games.
Paullian Blantar	Frère Blantar fut un des plus grands héros de l'Histoire des Iron Hands. Il fut Révérand de Fer et contemporain du Chef de guerre Bannus. 1-p.50
Pavonis	Pavonis est un monde Nécron, colonisée par l'Imperium. 1
Pax Argentius	Pax Argentius est le principal Monde Funéraire du Chapitre Space Marine des Silver Skulls.Elle tire son nom de la paix qui y règne, ainsi que du premier et plus grand monument à sa surface, entièrement dédié aux fondateurs du Chapitre. 1
Pays des Ombres	Le Pays des Ombres est une terre légendaire de la planète Medusa. Elle est devenue le lieu de recrutement des aspirants du chapitre des Iron Hands. 1
Pedro Kantor	Pedro Kantor (parfois "Cantor"), est l'actuel Maître de Chapitre des Crimson Fists. 7
Peindre les Space Marines	De son titre original : "Comment peindre les Space Marines" (en anglais: 'How to Paint Space Marines'), ce livret du Hobby fut publié et traduit dans toutes les langues des pays de distribution de Games Workshop. C'est un guide de peinture de référence pour les  armées de Space Marines de l'univers de Warhammer 40,000.
Peindre les Tanks Citadel	De son titre original en anglais: 'How to Paint Citadel Tanks', ce livret du Hobby fut publié et traduit dans toutes les langues des pays de distribution de Games Workshop. C'est un guide de peinture de référence pour les véhicules des listes d'armées de l'univers de Warhammer 40,000.
Pelagor Marner	Pelagor Marner fut un Sergent Destroyeur de la Ière Légion des Dark Angels. 1
Pellas Mir'San	Pellas Mir'san fut un Capitaine de la 2ème Compagnie des Salamanders. 1
Pellis	"Pellis" fut un Magos Biologis de l'Adeptus Mechanicus. 1a
Penitent (Blood Angels)	"Penitent" désigne un statut particulier utilisé dans les rangs du chapitre des Blood Angels. 1
Pensée du Jour	Les "pensées du jour" regroupent l'ensemble des maximes, proverbes et dictons que l'on retrouve en en-tête ou en marge de la plupart des documents impériaux.
Perada	Frère "Perada" fut un Sergent de l'antique IXème légion des Blood Angels. 2
Perdita	Perdita est un Monde Mort 2, ainsi qu'un des Mondes Nécropoles de la Dynastie Mephrit. Elle est gouvernée par le Tétrarque Zarathusa. 1
Perditio	Le "Perditio", appelé en anglais "Inferno", 1,3 est une arme relique du chapitre des Blood Angels. 2
Perfection's Flight	Le Perfection's Flight fut un Croiseur Thunderbolt de l'antique IIIème légion des Emperor's Children. 1
Perinetus	Perinetus est un Monde Forge du Secteur Calixis, situé près de la Nébuleuse d'Adrantis.
Personnages (Alaitoc)	Cette page recense tous les personnages connus appartenant au Vaisseau-Monde d’Alaitoc.
Personnages (Alpha Legion)	Liste des personnages connus appartenant à l'Alpha Legion après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes de l'Alpha Legion, voir : Personnages (Alpha Legion - Légion).
Personnages (Alpha Legion - Légion)	Liste des personnages connus appartenant à la XXème Légion de l'Alpha Legion lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Astral Knights)	Cette page recense tous les personnages connus appartenant au Chapitre des Astral Knights.
Personnages (Biel-Tan)	Cette page recense tous les personnages connus appartenant au Vaisseau-Monde de Biel-Tan.
Personnages (Black Legion)	Liste des personnages connus appartenant à la Black Legion après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes de la Black Legion, voir : Personnages (Sons of Horus).
Personnages (Black Templars)	Cette page recense tous les personnages connus appartenant au Chapitre des Black Templars.
Personnages (Blood Angels)	Liste des personnages connus appartenant au Chapitre des Blood Angels après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Blood Angels, voir : Personnages (Blood Angels - Légion).
Personnages (Blood Angels - Légion)	Liste des personnages connus appartenant à la IXème Légion des Blood Angels lors de la Grande Croisade et de l'Hérésie d'Horus.Pour les personnages des Blood Angels post-hérésie, voir : Personnages (Blood Angels).
Personnages (Blood Drinkers)	Cette page recense tous les personnages connus appartenant au Chapitre des Blood Drinkers.
Personnages (Blood Ravens)	Cette page recense tous les personnages connus appartenant au Chapitre des Blood Ravens.
Personnages (Chevaliers Gris)	Liste des personnages connus appartenant au Chapitre des Chevaliers Gris.
Personnages (Crimson Fists)	Cette page recense tous les personnages connus appartenant au Chapitre des Crimson Fists.
Personnages (Custodes)	Cette page recense tous les personnages connus appartenant à la Legio Custodes ou à l'Adeptus Custodes.
Personnages (Dark Angels)	Liste des personnages connus appartenant au Chapitre des Dark Angels après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Dark Angels, voir : Personnages (Dark Angels - Légion).
Personnages (Dark Angels - Légion)	Liste des personnages connus appartenant à la Ière Légion des Dark Angels lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Luther et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Death Guard)	Liste des personnages connus appartenant à la Death Guard après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes de la Death Guard voir : Personnages (Death Guard - Légion).
Personnages (Death Guard - Légion)	Liste des personnages connus appartenant à la XIVème Légion de la Death Guard lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Deathwatch)	Cette page recense tous les Space Marines connus ayant fait partie de la Deathwatch.
Personnages (Eldars Noirs)	Liste des personnages appartenant aux Eldars Noirs apparus dans des sources officielles :
Personnages (Emperor's Children)	Liste des personnages connus appartenant aux Emperor's Children après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes des Emperor's Children, voir : Personnages (Emperor's Children - Légion).
Personnages (Emperor's Children - Légion)	Liste des personnages connus appartenant à la IIIème Légion des Emperor's Children lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Empire Tau)	Liste des personnages appartenant à l'Empire Tau apparus dans des sources officielles :
Personnages (Excoriators)	Cette page recense tous les personnages connus appartenant au Chapitre des Excoriators.
Personnages (Flesh Tearers)	Cette page recense tous les personnages connus appartenant au Chapitre des Flesh Tearers.
Personnages (Imperial Fists)	Liste des personnages connus appartenant au Chapitre des Imperial Fists après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Imperial Fists, voir : Personnages (Imperial Fists - Légion).
Personnages (Imperial Fists - Légion)	Liste des personnages connus appartenant à la VIIème Légion des Imperial Fists lors de la Grande Croisade et de l'Hérésie d'Horus.Pour les personnages des Imperial Fists post-hérésie, voir : Personnages (Imperial Fists).
Personnages (Iron Hands)	Liste des personnages connus appartenant au Chapitre des Iron Hands après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Iron Hands, voir : Personnages (Iron Hands - Légion).
Personnages (Iron Hands - Légion)	Liste des personnages connus appartenant à la Xème Légion des Iron Hands lors de la Grande Croisade et de l'Hérésie d'Horus.Pour les personnages des Iron Hands post-hérésie, voir : Personnages (Iron Hands).
Personnages (Iron Warriors)	Liste des personnages connus appartenant aux Iron Warriors après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes des Iron Warriors, voir : Personnages (Iron Warriors - Légion).
Personnages (Iron Warriors - Légion)	Liste des personnages connus appartenant à la IVème Légion des Iron Warriors lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Iyanden)	Cette page recense tous les personnages connus appartenant au Vaisseau-Monde d’Iyanden.
Personnages (Night Lords)	Liste des personnages connus appartenant aux Night Lords après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes des Night Lords, voir : Personnages (Night Lords - Légion).
Personnages (Night Lords - Légion)	Liste des personnages connus appartenant à la VIIIème Légion des Night Lords lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Novamarines)	Cette page recense tous les personnages connus appartenant au Chapitre des Novamarines.
Personnages (Raven Guard)	Liste des personnages connus appartenant au Chapitre de la Raven Guard après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes de la Raven Guard, voir : Personnages (Raven Guard - Légion).
Personnages (Raven Guard - Légion)	Liste des personnages connus appartenant à la XIXème Légion de la Raven Guard lors de la Grande Croisade et de l'Hérésie d'Horus.Bien que la majorité soit restée, comme son Primarque, loyale à l’Empereur, certains éléments choisir le camp de la rébellion. Ceux-ci sont identifiés par le symbole suivant .
Personnages (Saim-Hann)	Cette page recense tous les personnages connus appartenant au Vaisseau-Monde de Saim-Hann.
Personnages (Salamanders)	Liste des personnages connus appartenant au Chapitre des Salamanders après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Salamanders, voir : Personnages (Salamanders - Légion).
Personnages (Salamanders - Légion)	Liste des personnages connus appartenant à la XVIIIème Légion des Salamanders lors de la Grande Croisade et de l'Hérésie d'Horus.Pour les personnages des Salamanders post-hérésie, voir : Personnages (Salamanders).
Personnages (Silver Skulls)	Cette page recense tous les personnages connus appartenant au Chapitre des Silver Skulls.
Personnages (Sons of Horus)	Liste des personnages connus appartenant à la XVIème Légion des Lunar Wolves / Sons of Horus lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Space Wolves)	Liste des personnages connus appartenant au Chapitre des Space Wolves après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Space Wolves, voir : Personnages (Space Wolves - Légion).
Personnages (Space Wolves - Légion)	Liste des personnages connus appartenant à la VIème Légion des Space Wolves lors de la Grande Croisade et de l'Hérésie d'Horus.Pour les personnages des Space Wolves post-hérésie, voir : Personnages (Space Wolves).
Personnages (Thousand Sons)	Liste des personnages connus appartenant aux Thousand Sons après l'Hérésie d'Horus et la fuite dans l'Œil de la Terreur.Pour les personnages de la Légion Astartes des Thousand Sons, voir : Personnages (Thousand Sons - Légion).
Personnages (Thousand Sons - Légion)	Liste des personnages connus appartenant à la XVème Légion des Thousand Sons lors de la Grande Croisade et de l'Hérésie d'Horus.La loyauté des membres de la Légion lors de l'Hérésie est indiquée comme suit :<ul><li>  : marine ayant choisi de suivre Horus et de rejoindre le Chaos.</li> <li>  : marine resté loyal à l'Empereur.</li></ul>
Personnages (Ulthwé)	Cette page recense tous les personnages connus appartenant au Vaisseau-Monde d’Ulthwé.
Personnages (Ultramarines)	Liste des personnages connus appartenant au Chapitre des Ultramarines après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des Ultramarines, voir : Personnages (Ultramarines - Légion).
Personnages (Ultramarines - Légion)	Liste des personnages connus appartenant à la XIIIème Légion des Ultramarines lors de la Grande Croisade et de l'Hérésie d'Horus.Pour les personnages des Ultramarines post-hérésie, voir : Personnages (Ultramarines).
Personnages (White Scars)	Liste des personnages connus appartenant au Chapitre des White Scars après l'Hérésie d'Horus.Pour les personnages de la Légion Astartes des White Scars, voir : Personnages (White Scars - Légion).
